Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
1,20,Mother,Service,"  1,200,000 ","  120,000 ",Quarterly,"  420,000 ",Single,Non Medical,10,10,Sahibganj,Jharkhand,816115,ULIP,Retail Agency,,30-08-2023,26-10-2023,12-12-2023,Claim,Death Claim Repudiated,Misrepresentation
2,33,Husband,Service,"  350,000 ","  5,000 ",Yearly,"  180,000 ",Married,Non Medical,15,10,VIDISHA,Madhya Pradesh,464001,Traditional,Retail Agency,,02-03-2022,31-03-2022,10-02-2023,Claim,Death Claim Repudiated,Misrepresentation
3,34,Wife,Self-Employed,"  350,000 ","  5,000 ",Yearly,"  249,000 ",Married,Non Medical,15,10,BIRBHUM,West Bengal,731238,Traditional,Retail Agency,,08-07-2022,11-11-2022,26-06-2023,Claim,Death Claim Repudiated,Misrepresentation
4,34,Wife,Service,"  325,000 ","  5,000 ",Yearly,"  360,000 ",Married,Non Medical,10,10,MATHURA,Uttar Pradesh,281504,Traditional,Retail Agency,,27-12-2022,08-04-2023,14-08-2023,Claim,Death Claim Repudiated,Misrepresentation
5,54,Husband,Housewife,"  100,000 ","  5,000 ",Yearly,"  600,000 ",Married,Non Medical,15,10,CUDDALORE,Tamil Nadu,606001,Traditional,Retail Agency,,24-03-2023,11-04-2023,06-12-2023,Claim,Death Claim Repudiated,Misrepresentation
6,45,Son,Agriculturist,"  175,000 ","  5,000 ",Yearly,"  250,000 ",Married,Non Medical,10,10,MORENA,Madhya Pradesh,476221,Traditional,Retail Agency,,06-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
7,32,Husband,Business,"  350,000 ","  5,000 ",Yearly,"  240,000 ",Married,Non Medical,15,10,Hanumangarh,Rajasthan,335501,Traditional,Retail Agency,,20-07-2023,06-08-2023,09-11-2023,Claim,Death Claim Repudiated,Misrepresentation
8,46,Son,Service,"  500,000 ","  50,000 ",Yearly,"  780,000 ",Married,Non Medical,12,10,HYDERABAD,Telangana,500037,ULIP,Bancassurance,1,22-11-2021,10-02-2022,15-02-2023,Claim,Death Claim Repudiated,Misrepresentation
9,43,Wife,Defense Retired,"  2,000,000 ","  200,000 ",Yearly,"  816,000 ",Married,Non Medical,12,10,MADURAI,Tamil Nadu,625535,ULIP,Bancassurance,1,12-01-2022,25-02-2023,04-07-2023,Claim,Death Claim Repudiated,Misrepresentation
10,27,Father,Self-Employed,"  990,000 ","  99,000 ",Yearly,"  960,000 ",Single,Non Medical,12,10,Latehar,Jharkhand,829203,ULIP,Bancassurance,1,22-04-2022,-,-,Cancellation,Other Reason,Misrepresentation
11,40,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  1,200,000 ",Married,Non Medical,12,10,NEW DELHI,Delhi,110041,ULIP,Bancassurance,1,16-06-2022,04-09-2022,20-06-2023,Claim,Death Claim Repudiated,Misrepresentation
12,54,Son,Business,"  990,000 ","  99,000 ",Yearly,"  580,000 ",Married,Non Medical,12,10,SANTIPUR,West Bengal,741404,ULIP,Bancassurance,1,14-06-2022,29-11-2022,03-05-2023,Claim,Death Claim Repudiated,Misrepresentation
13,50,Daughter,Service,"  2,000,000 ","  200,000 ",Yearly,"  7,200,000 ",Married,Non Medical,12,10,BANGALORE,Karnataka,560102,ULIP,Bancassurance,1,15-12-2022,21-02-2023,06-06-2023,Claim,Death Claim Repudiated,Misrepresentation
14,54,Spouse,Housewife,"  500,000 ","  50,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,RATLAM,Madhya Pradesh,457331,ULIP,Bancassurance,1,30-12-2022,09-03-2023,03-07-2023,Claim,Death Claim Repudiated,Misrepresentation
15,52,Husband,Housewife,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,Ghaziabad,Uttar Pradesh,201102,ULIP,Bancassurance,1,16-05-2023,27-05-2023,04-10-2023,Claim,Death Claim Repudiated,Misrepresentation
16,45,Daughter,Housewife,"  500,000 ","  50,000 ",Yearly,"  468,000 ",Married,Non Medical,12,10,Rampur,Uttar Pradesh,244901,ULIP,Bancassurance,1,13-06-2023,14-09-2023,12-12-2023,Claim,Death Claim Repudiated,Misrepresentation
17,39,Husband,Service,"  4,000,000 ","  88,549 ",Yearly,"  420,000 ",Married,Medical,10,10,HISAR,Haryana,125047,Traditional,Bancassurance,1,29-01-2020,20-11-2022,26-06-2023,Claim,Death Claim Paid,Misrepresentation
18,40,Wife,Service,"  1,100,000 ","  27,590 ",Yearly,"  900,000 ",Married,Non Medical,10,10,Nellore,Andhra Pradesh,524002,Traditional,Bancassurance,1,13-03-2020,14-02-2022,01-02-2023,Claim,Death Claim Repudiated,Misrepresentation
19,51,Wife,Service,"  700,000 ","  37,863 ",Yearly,"  480,000 ",Married,Medical,10,10,Burdwan,West Bengal,713102,Traditional,Bancassurance,1,30-10-2021,26-10-2022,02-02-2023,Claim,Death Claim Repudiated,Misrepresentation
20,40,Wife,Service,"  1,316,000 ","  33,008 ",Yearly,"  700,000 ",Married,Non Medical,10,10,DHARWARD,Karnataka,580020,Traditional,Bancassurance,1,20-11-2021,20-10-2022,14-12-2023,Claim,Death Claim Repudiated,Misrepresentation
21,54,Son,Profession,"  2,300,000 ","  137,413 ",Yearly,"  780,000 ",Married,Medical,16,10,GUNTUR,Andhra Pradesh,522006,Traditional,Bancassurance,1,19-01-2022,02-02-2023,23-05-2023,Claim,Death Claim Repudiated,Misrepresentation
22,43,Spouse,Service,"  1,300,000 ","  40,303 ",Yearly,"  624,000 ",Married,Non Medical,10,10,Ludhiana,Punjab,141401,Traditional,Bancassurance,1,07-06-2022,22-08-2023,03-11-2023,Claim,Death Claim Repudiated,Misrepresentation
23,53,Wife,Service,"  700,000 ","  42,372 ",Yearly,"  540,000 ",Married,Medical,10,10,MAYURBHANJ,Odisha,757026,Traditional,Bancassurance,1,29-09-2022,24-11-2022,06-07-2023,Claim,Death Claim Repudiated,Misrepresentation
24,34,Husband,Service,"  1,700,000 ","  29,150 ",Yearly,"  660,000 ",Married,Medical,10,10,Darbhanga,Bihar,846005,Traditional,Bancassurance,1,30-11-2022,28-12-2022,02-02-2023,Claim,Death Claim Repudiated,Misrepresentation
25,51,Son,Service,"  800,000 ","  42,904 ",Yearly,"  1,000,000 ",Married,Medical,10,10,Sirsa,Haryana,125055,Traditional,Bancassurance,1,29-11-2022,02-09-2023,12-12-2023,Claim,Death Claim Repudiated,Misrepresentation
26,42,Mother,Service,"  700,000 ","  20,979 ",Yearly,"  780,000 ",Married,Non Medical,10,10,Krishnagiri,Tamil Nadu,635104,Traditional,Bancassurance,1,31-01-2023,18-03-2023,06-12-2023,Claim,Death Claim Repudiated,Misrepresentation
27,40,Husband,Service,"  1,300,000 ","  32,607 ",Yearly,"  800,000 ",Married,Non Medical,10,10,West Singhbhum,Jharkhand,833201,Traditional,Bancassurance,1,19-05-2023,10-07-2023,21-11-2023,Claim,Death Claim Repudiated,Misrepresentation
28,31,Mother,Service,"  4,200,000 ","  600,000 ",Yearly,"  2,400,000 ",Single,Non Medical,15,10,Ranchi,Jharkhand,835217,ULIP,Bancassurance,1,09-03-2023,08-06-2023,15-11-2023,Claim,Death Claim Repudiated,Misrepresentation
29,34,Spouse,Self-Employed,"  410,000 ","  25,483 ",Half yearly,"  249,000 ",Married,Non Medical,20,10,BIRBHUM,West Bengal,731238,Traditional,Retail Agency,,31-07-2022,11-11-2022,26-06-2023,Claim,Death Claim Repudiated,Misrepresentation
